relative_path,duration_sec,n_frames,fps
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الكَبِدِ.mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ المَعِدَةِ.mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الوِلادَةِ (إِشَارَة 1).mp4,4.600,115,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الوِلادَةِ (إِشَارَة 2).mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرًا (إِشَارَة 1).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرًا (إِشَارَة 2).mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 1).mp4,2.400,60,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 2).mp4,3.120,78,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 3).mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْبَرَ (إِشَارَة 1).mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْبَرَ (إِشَارَة 2).mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْضَرُ (إِشَارَة 1).mp4,2.760,69,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْضَرُ (إِشَارَة 2).mp4,2.280,57,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْطَأَ.mp4,2.440,61,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدَّى (إِشَارَة 1).mp4,4.400,110,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدْرَكَ (إِشَارَة 1).mp4,2.320,58,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدْرَكَ (إِشَارَة 2).mp4,5.333,160,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرَادَ (إِشَارَة 1).mp4,5.320,133,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرَادَ (إِشَارَة 2).mp4,2.880,72,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرُزٌّ (إِشَارَة 1).mp4,4.240,106,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرُزٌّ (إِشَارَة 2).mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرِيكَةٌ (إِشَارَة 1).mp4,4.280,107,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرِيكَةٌ (إِشَارَة 2).mp4,4.120,103,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبَعَة.mp4,6.400,160,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبِطَةُ الحِذَاءِ (إِشَارَة 1).mp4,5.400,135,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبِطَةُ الحِذَاءِ (إِشَارَة 2).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبِطَةُ الحِذَاءِ (إِشَارَة 3).mp4,3.040,76,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْكَانُ الْإِسْلاَمِ (إِشَارَة 1).mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْكَانُ الْإِسْلاَمِ (إِشَارَة 2).mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْكَانُ الْإِسْلاَمِ (إِشَارَة 3).mp4,3.520,88,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْنَبٌ (إِشَارَة 1).mp4,4.160,104,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْنَبٌ (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْنَبٌ (إِشَارَة 3).mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزَالَ (إِشَارَة 1).mp4,5.880,147,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزَالَ (إِشَارَة 2).mp4,3.640,91,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزْرَقُ (إِشَارَة 1).mp4,3.000,75,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزْرَقُ (إِشَارَة 2).mp4,6.233,187,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزْرَقُ (إِشَارَة 3).mp4,5.400,162,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسَدٌ (إِشَارَة 1).mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسَدٌ (إِشَارَة 2).mp4,6.040,151,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسَّسَ.mp4,5.480,137,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْفَلُ.mp4,2.640,66,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْوَدُ (إِشَارَة 1).mp4,3.760,94,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْوَدُ (إِشَارَة 2).mp4,4.480,112,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْوَدُ (إِشَارَة 3).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَشَاعَ.mp4,2.400,60,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصَمُّ (إِشَارَة 1).mp4,2.640,66,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصَمُّ (إِشَارَة 2).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصِيلَةُ (إِشَارَة 1).mp4,2.960,74,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصِيلَةُ (إِشَارَة 2).mp4,4.480,112,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْبَحَ (إِشَارَة 1).mp4,3.280,82,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْبَحَ (إِشَارَة 2).mp4,2.840,71,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْفَرُ (إِشَارَة 1).mp4,2.680,67,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْفَرُ (إِشَارَة 2).mp4,3.680,92,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْلَحَ.mp4,3.720,93,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْلَعُ.mp4,3.920,98,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَضَافَ (إِشَارَة 1).mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَضَافَ (إِشَارَة 2).mp4,2.920,73,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَطْفَأَ (إِشَارَة 1).mp4,4.933,148,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَطْفَأَ (إِشَارَة 2).mp4,2.560,64,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعَادَ (إِشَارَة 1).mp4,2.440,61,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعَادَ (إِشَارَة 2).mp4,4.040,101,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْزَبُ (إِشَارَة 1).mp4,6.960,174,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْزَبُ (إِشَارَة 2).mp4,3.880,97,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْزَبُ (إِشَارَة 3).mp4,3.360,84,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْطَى.mp4,2.000,50,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْلَمَ.mp4,2.960,74,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْمَى (إِشَارَة 1).mp4,5.560,139,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْمَى (إِشَارَة 2).mp4,2.520,63,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَغْلَقَ.mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَغْمَضَ.mp4,5.840,146,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَفْرَغَ.mp4,5.067,152,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَفْغَانِسْتَان (إِشَارَة 1).mp4,4.080,102,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَفْغَانِسْتَان (إِشَارَة 2).mp4,4.000,100,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقَلُّ.mp4,3.960,99,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقْسَمَ (إِشَارَة 1).mp4,5.680,142,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقْسَمَ (إِشَارَة 2).mp4,2.680,67,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقْسَمَ (إِشَارَة 3).mp4,2.520,63,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكَادِير.mp4,3.240,81,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكَلَ.mp4,3.400,85,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكْثَرُ (إِشَارَة 1).mp4,3.800,95,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكْثَرُ (إِشَارَة 2).mp4,2.800,70,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلَمٌ (إِشَارَة 1).mp4,5.320,133,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلَمٌ (إِشَارَة 2).mp4,3.160,79,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلْعَابُ الْقُوَى (إِشَارَة 1).mp4,6.000,150,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلْعَابُ الْقُوَى (إِشَارَة 2).mp4,6.160,154,25.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلْفُ دِرْهَمٍ.mp4,4.900,147,30.000
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمَامَ (إِشَارَة 1).mp4,4.600,115,25.000
